rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,7859,7859,403,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
2,"[1,000원쿠폰] [20+20] 더 빅토리아 탄산수/탄산음료 500mlx20펫/350mlx24캔 (총2박스/분리배송)",,28900,17900,38,5666,5666,1,,0,0,https://store.kakao.com/wjfood/products/10228414?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240613081549_2428033e44244ce78879e07e76ca99d0.jpg
3,(농할) 경산 천홍 천도복숭아 로얄과 2kg 13~15과,,21900,15900,27,4718,4718,111,,0,0,https://store.kakao.com/bongyi/products/775551326?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814140424_c6949c0c24ff4932a5d2221cb927d7fa.jpg
4,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,4020,4020,8973,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
5,그레인온 골드 카무트효소G 기획세트 (90+10포)+사은품 증정,,75000,22000,71,3684,3684,7151,,0,0,https://store.kakao.com/grainon/products/469647666?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814103950_9bba637c627f4605b29fb10b7ee16a0e.png
6,(농할)제주 단호박 보우짱 특품 2kg(3-7개) / 2개 구매시+1kg 증정 (총 5kg 발송),,9500,8500,11,4271,4271,1908,,0,0,https://store.kakao.com/sgpij/products/404333707?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250703135729_677f9a362b494af98173eab4651210df.jpg
7,(농할) 제주 고당도 하우스감귤 2.5kg 소과,,22900,19500,15,2953,2953,5958,,0,0,https://store.kakao.com/ggeebbbii/products/10691883?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260708171930_ff83408c3af64db7b441d46f7f50c895.png
8,(농할) 국내산 26년 대추 방울토마토 2kg 중과 산지직송 특~3번 사이즈 GAP X 저탄소인증,,19900,10500,47,2870,2870,,,0,0,https://store.kakao.com/seasonfarm2018/products/773270984?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260805184354_8780a779ab3c4410bc01592081618b85.jpg
9,[농할] 국내산 난각번호 1번 무항생제 유정란 20구,,23000,10900,53,3821,3821,66,,0,0,https://store.kakao.com/freshmentor/products/513886379?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20251209174103_6621a22f93144f8ba6647013de600ee0.jpg
10,"[명가삼대떡집] 해남 밤호박 설기 외 찹쌀떡, 인절미, 송편, 바람떡 7종",,27900,15900,43,3531,3531,28,,0,0,https://store.kakao.com/myeonggashop/products/764787706?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260716165235_1230ca8900c543208db650843bb7d677.png
