rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,(농할) 자연방사 난각번호 1번 무항생제 유정란 20구 에어캡 안전포장,,35000,11900,66,14000,14000,301,,0,0,https://store.kakao.com/ssharang/products/712533935?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260710151256_f1952967563e42f2aee5a0e19982d5a6.jpg
2,고기듬뿍 진한 감자탕 뼈해장국 대용량 5kg,,49900,18900,62,10000,10000,1,,0,0,https://store.kakao.com/ham00/products/284223908?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240119091554_d24e3a5c15cd4e58ab96bae3b9591cbe.jpg
3,스파클생수 2L 24병 / 500ml 60병 / 스파클링 500ml 40병 외 스파클모음전,,14900,10900,27,7860,7860,5,,0,0,https://store.kakao.com/sparklemart/products/10194786?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250721111042_3c0c27dbd91840ee926143b55870d445.png
4,(농할) 경북 의성 햇살어린 백도 딱딱이 복숭아 2kg 로얄과 7-8과,,21900,14900,32,6836,6836,857,,0,0,https://store.kakao.com/bongyi/products/755458824?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260806092545_75523bc641c54f40889d9914c2f60ff9.jpg
5,(농할) 국내산 음성농협 햇사레 고당도 말랑이(황도/백도 랜덤)복숭아 4kg(16입 내) [2일후숙],,39900,28900,28,6272,6272,12,,0,0,https://store.kakao.com/whfoodmarket/products/768377754?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260805194417_50344c344e35469485ee8f8ffaf1de78.jpg
6,"[수산대전 20% 17,920원] 자포니카 민물장어 1kg 손질 후 700g 내외(소스2종 + 생강채) 당일손질",,34900,22500,36,7191,7191,,,0,0,https://store.kakao.com/bagpacker/products/768336645?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260811141217_2cea01263933418ca31834b9e7c2644b.jpg
7,[해남미소] 26년 햇 고춧가루(양념용/보통맛) 1kg(500g*2개),,36900,24900,33,7088,7088,3205,,0,0,https://store.kakao.com/hnmiso/products/42872764?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260806145455_f08060eb29f2437ea1e62fde38f0dfe8.jpg
8,(농할) 김천 샤인머스켓 알알이 포장 400g * 2팩,,20900,9900,53,4922,4922,419,,0,0,https://store.kakao.com/bongyi/products/608472354?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260728093704_9cbe6b6bd76941a4b0e3c653db67ad18.jpg
9,[마니커에프앤지] 누룽지백숙 1kg x 2팩 + 녹두삼계탕 1kg x 2팩,,44800,27800,38,4164,4164,191,,0,0,https://store.kakao.com/mssfood2/products/756137578?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260804154523_38799a0bba6046028b2162ea3aae75c1.jpg
10,장순필 가마솥 육개장(육개탕) 600g*8봉 외 상품,,30900,22900,26,4620,4620,2,,0,0,https://store.kakao.com/soonfeel/products/75744620?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260804153411_4445ebb040434ee784341af6a40fdc0d.png
