rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,(농할) 경북 차돌복숭아 3kg 대과 11-12과 외 4kg / 단단하고 아삭한 식감,,25900,20900,19,8712,8712,,,0,0,https://store.kakao.com/youngstore/products/774975823?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260820015701_ed04c72647fd4664870d343bf309f6d7.jpg
2,샘트리 맛 병아리콩 오리지널 1개(20g x 20개입 개별포장) 외 행사모음전,,40000,9900,75,9098,9098,798,,0,0,https://store.kakao.com/greesim/products/681499148?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260515120305_0d51990c565245bcb9f63cefe72d3828.jpg
3,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,8104,8104,470,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
4,(광동 직영) 제주 삼다수 2L/500ML/330ML 모음전,,26000,23900,8,6758,6758,1,,0,0,https://store.kakao.com/kwangdongmall/products/78647926?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250904175153_397fb1dc716840b0968c1dabc680c222.jpg
5,(농할) 푸드앤픽 경기미 10kg 특등급 꿈마지 밥맛좋은쌀 경기쌀,,34500,32500,6,6417,6417,,,0,0,https://store.kakao.com/foodandpick/products/525497858?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260818131909_25ec79b2e80c4b31a9dcdfbee93883dd.png
6,[농할] 국내산 난각번호 1번 무항생제 유정란 20구,,23000,10900,53,7849,7849,128,,0,0,https://store.kakao.com/freshmentor/products/513886379?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20251209174103_6621a22f93144f8ba6647013de600ee0.jpg
7,(농할) 국내산 난각1번 자연방사 상황버섯 먹여 키운 무항생제 유정란 달걀 20구 1200g (대/특란),,17900,12000,33,8116,8116,600,,0,0,https://store.kakao.com/eggyoung/products/583635190?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250929133326_83f24868947944e893be698765e7a67e.jpg
8,(농할) 경산 천홍 천도복숭아 로얄과 2kg 13~15과,,21900,15900,27,5700,5700,457,,0,0,https://store.kakao.com/bongyi/products/775551326?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814140424_c6949c0c24ff4932a5d2221cb927d7fa.jpg
9,(농할) 제주 하우스 감귤 2kg 로얄과,,22900,16900,26,4646,4646,69,,0,0,https://store.kakao.com/eatpisode/products/761036271?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260716143848_1ef820ff66984596aa82c9b8fb29008f.png
10,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,4172,4172,8988,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
11,[안동 산지직송] 26년 햇 가을 제철 고당도 가정용 세척 홍로사과 2.5kg (12~18과),,24900,13900,44,4004,4004,13,,0,0,https://store.kakao.com/whfoodmarket/products/772063078?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260819155010_79af5a54a0444ba38b8698ac07fd81f3.jpg
12,(농할)제주 단호박 보우짱 특품 2kg(3-7개) / 2개 구매시+1kg 증정 (총 5kg 발송),,9500,8500,11,5277,5277,1955,,0,0,https://store.kakao.com/sgpij/products/404333707?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250703135729_677f9a362b494af98173eab4651210df.jpg
13,(농할)국내산 생 오겹살 600g(한돈!품질보장!무료반품!),,25900,16900,35,4145,4145,5629,,0,0,https://store.kakao.com/donpang/products/78645056?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20220427150020_04f919ebba9846bf80fe0888334d41d9.jpg
14,서문시장 손맛 칼제비 418g (생면 400g+스프 2개) x 4봉 / 총 8인분 외 골라담기,,17500,9900,43,4707,4707,419,,0,0,https://store.kakao.com/mssfood2/products/425479250?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260710152315_8779096096f748e48852ceb9cfb3804f.jpg
15,(농할) 제주 고당도 하우스감귤 2.5kg 소과,,22900,19500,15,3347,3347,5977,,0,0,https://store.kakao.com/ggeebbbii/products/10691883?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260708171930_ff83408c3af64db7b441d46f7f50c895.png
16,스파클생수 2L 24병 / 500ml 60병 / 스파클링 500ml 40병 외 스파클모음전,,14900,10900,27,3553,3553,5,,0,0,https://store.kakao.com/sparklemart/products/10194786?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250721111042_3c0c27dbd91840ee926143b55870d445.png
17,(농할) 당도높고 아삭한 국내산 대추방울토마토 2kg,,29900,9900,67,3102,3102,,,0,0,https://store.kakao.com/ham37/products/561431125?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250616104059_e32ce99b6d8e49ceaf1bd613b9a16a28.jpg
18,"(농할) 제주 흑돼지 앞다리살,오겹살,목살, 뒷다리살 (수육용, 구이용, 찌개용)",,49900,9900,80,5846,5846,219,,0,0,https://store.kakao.com/ham00/products/244168776?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260819152225_3baca19a62ed4b92b661756c0ce4240e.jpg
19,(농할)국내산 1등급한우 HC한우마을 육회200g 2인분 외 로스모음 선택 1,,29900,9900,67,4633,4633,4194,,0,0,https://store.kakao.com/hanukorea01/products/71499291?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250203095523_d85caf84bedd49878bc681e06477850c.jpg
20,농심 신라면 (120g x 10입),,10530,10230,3,2794,2794,131,,0,0,https://store.kakao.com/nongshim/products/766348305?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260721132245_669c04d5a9624125b3c8d3a7cc0e7900.jpg
