rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,오뚜기밥 200g 24입 + 210g 12입,,50700,31500,38,6840,6840,3688,,0,0,https://store.kakao.com/ottogi/products/72413660?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250930100141_f009490dabb84f7f976b433362d4e1b7.jpg
2,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,7896,7896,445,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
3,(농할) 경산 천홍 천도복숭아 로얄과 2kg 13~15과,,21900,15900,27,5061,5061,218,,0,0,https://store.kakao.com/bongyi/products/775551326?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814140424_c6949c0c24ff4932a5d2221cb927d7fa.jpg
4,(농할) 국내산 26년 대추 방울토마토 2kg 중과 산지직송 특~3번 사이즈 GAP X 저탄소인증,,19900,10500,47,4572,4572,,,0,0,https://store.kakao.com/seasonfarm2018/products/773270984?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260805184354_8780a779ab3c4410bc01592081618b85.jpg
5,[농할] 국내산 난각번호 1번 무항생제 유정란 20구,,23000,10900,53,6284,6284,71,,0,0,https://store.kakao.com/freshmentor/products/513886379?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20251209174103_6621a22f93144f8ba6647013de600ee0.jpg
6,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,4031,4031,8975,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
7,(농할) 경북 차돌복숭아 3kg 대과 11-12과 외 4kg / 단단하고 아삭한 식감,,25900,20900,19,3656,3656,,,0,0,https://store.kakao.com/youngstore/products/774975823?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260820015701_ed04c72647fd4664870d343bf309f6d7.jpg
8,(농할) 푸드앤픽 경기미 10kg 특등급 꿈마지 밥맛좋은쌀 경기쌀,,34500,32500,6,4107,4107,,,0,0,https://store.kakao.com/foodandpick/products/525497858?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260818131909_25ec79b2e80c4b31a9dcdfbee93883dd.png
9,[김 함량 37.5%]권서방 100%돌김자반 40g X 10봉 국산 서남해안 바다 생산,,29900,10900,64,3588,3588,584,,0,0,https://store.kakao.com/whfoodmarket/products/705740199?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260311193849_b48ed18f2c81447f8392d8ecc6ed4365.jpg
10,(농할)제주 단호박 보우짱 특품 2kg(3-7개) / 2개 구매시+1kg 증정 (총 5kg 발송),,9500,8500,11,4459,4459,1938,,0,0,https://store.kakao.com/sgpij/products/404333707?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250703135729_677f9a362b494af98173eab4651210df.jpg
11,"[명가삼대떡집] 해남 밤호박 설기 외 찹쌀떡, 인절미, 송편, 바람떡 7종",,27900,15900,43,3895,3895,36,,0,0,https://store.kakao.com/myeonggashop/products/764787706?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260716165235_1230ca8900c543208db650843bb7d677.png
12,(농할) 제주 고당도 하우스감귤 2.5kg 소과,,22900,19500,15,3042,3042,5965,,0,0,https://store.kakao.com/ggeebbbii/products/10691883?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260708171930_ff83408c3af64db7b441d46f7f50c895.png
13,"[최종혜택가 21,770원] 태안 자연산 통통 활 숫꽃게 2kg 6-10미 / 금어기 종료 21일 드디어 첫 출하!",,29900,23900,20,2740,2740,5992,,0,0,https://store.kakao.com/weple/products/84194054?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260813173319_cbc29b4e1d044b4cba3649d1bbd9518b.png
