rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,오뚜기밥 200g 24입 + 210g 12입,,50700,31500,38,11000,11000,3757,,0,0,https://store.kakao.com/ottogi/products/72413660?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250930100141_f009490dabb84f7f976b433362d4e1b7.jpg
2,(농할) 경북 차돌복숭아 3kg 대과 11-12과 외 4kg / 단단하고 아삭한 식감,,25900,20900,19,8054,8054,,,0,0,https://store.kakao.com/youngstore/products/774975823?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260820015701_ed04c72647fd4664870d343bf309f6d7.jpg
3,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,8035,8035,463,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
4,(농할) 푸드앤픽 경기미 10kg 특등급 꿈마지 밥맛좋은쌀 경기쌀,,34500,32500,6,5934,5934,,,0,0,https://store.kakao.com/foodandpick/products/525497858?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260818131909_25ec79b2e80c4b31a9dcdfbee93883dd.png
5,[농할] 국내산 난각번호 1번 무항생제 유정란 20구,,23000,10900,53,7690,7690,125,,0,0,https://store.kakao.com/freshmentor/products/513886379?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20251209174103_6621a22f93144f8ba6647013de600ee0.jpg
6,(농할) 국내산 26년 대추 방울토마토 2kg 중과 산지직송 특~3번 사이즈 GAP X 저탄소인증,,19900,10500,47,5472,5472,,,0,0,https://store.kakao.com/seasonfarm2018/products/773270984?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260805184354_8780a779ab3c4410bc01592081618b85.jpg
7,샘트리 맛 병아리콩 오리지널 1개(20g x 20개입 개별포장) 외 행사모음전,,40000,9900,75,5562,5562,797,,0,0,https://store.kakao.com/greesim/products/681499148?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260515120305_0d51990c565245bcb9f63cefe72d3828.jpg
8,(농할) 경산 천홍 천도복숭아 로얄과 2kg 13~15과,,21900,15900,27,5550,5550,435,,0,0,https://store.kakao.com/bongyi/products/775551326?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814140424_c6949c0c24ff4932a5d2221cb927d7fa.jpg
9,(광동 직영) 제주 삼다수 2L/500ML/330ML 모음전,,26000,23900,8,4983,4983,1,,0,0,https://store.kakao.com/kwangdongmall/products/78647926?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250904175153_397fb1dc716840b0968c1dabc680c222.jpg
10,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,4107,4107,8986,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
