rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,(농할) 자연방사 난각번호 1번 무항생제 유정란 20구 에어캡 안전포장,,35000,11900,66,14000,14000,340,,0,0,https://store.kakao.com/ssharang/products/712533935?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260710151256_f1952967563e42f2aee5a0e19982d5a6.jpg
2,(농할) 경북 의성 햇살어린 백도 딱딱이 복숭아 2kg 로얄과 7-8과,,21900,14900,32,7909,7909,954,,0,0,https://store.kakao.com/bongyi/products/755458824?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260806092545_75523bc641c54f40889d9914c2f60ff9.jpg
3,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,7333,7333,285,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
4,(농할) 김천 샤인머스켓 알알이 포장 400g * 2팩,,20900,9900,53,5079,5079,482,,0,0,https://store.kakao.com/bongyi/products/608472354?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260728093704_9cbe6b6bd76941a4b0e3c653db67ad18.jpg
5,햇 사과 홍로 소과 정품 1.5kg 산지직송,,30000,10900,64,5358,5358,6420,,0,0,https://store.kakao.com/yjms/products/172818083?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260810144814_47d69758099847d9a5ef81ef18f062e1.jpg
6,(농할)국내산 생 삼겹살 600g(한돈!품질보장!무료반품!),,25900,16900,35,5417,5417,7169,,0,0,https://store.kakao.com/donpang/products/70685934?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250922085330_f056b4b4217242d98a28534ad13adca5.jpg
7,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,3926,3926,8909,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
8,[10개 X 4팩 = 40개입] 연육함량 80% 프리미엄 꼬치어묵 팔공어묵 10개입 + 가쓰오소스 X 4팩 세트.,,20900,11900,43,5713,5713,201,,0,0,https://store.kakao.com/yoloburo/products/722470225?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20251217164844_088a68b7e10840faa4a540e721848eb8.jpg
9,[동원] 동원참치 라이트 85g 16캔 + 마일드 90g 4캔 외 고추/콘 골라담기,,52000,29900,42,3716,3716,5,,0,0,https://store.kakao.com/dongwonfnb/products/71615031?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260304105057_ddbb8da0753a40709d3ee593c64f7022.jpg
10,(농할)제주 고당도 하우스감귤 2kg 로얄과 (2개구매시 4.5kg 발송),,22900,18900,17,5902,5902,1085,,0,0,https://store.kakao.com/ggeebbbii/products/61292685?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260706161721_58beeaa97e6b4eecbcd11507d0ea7fe4.png
